Ativo,Valor_1,Valor_2,Valor_3,Valor_4,Valor_5,Valor_6,Valor_7,Valor_8,Valor_9,Valor_10,Valor_11,Valor_12,Valor_13,Valor_14,Valor_15,Valor_16,Valor_17,Valor_18,Valor_19,Valor_20,Valor_21,Valor_22,Valor_23
SBSP3,26.66,100,7.98,2.13,236.98,12.97,58.263097853303,119.6,30.54724,-74.458829431438,137.60620988894,15.055359438913,26.93,"81,75 Bilhões","10,24 Bilhões","38,01 Bilhões",16.39,60.1,"8,14 Bilhões",0.72,1.8115921223234,3.2,Utilidade Pública
VULC3,26.62,90,9.91,2.64,626.38,27.27,42.146887997373,21.19,19.765076666667,-6.7245084159179,19.663277956638,-7.2049176185087,18.63,"5,82 Bilhões","587,17 Milhões","3,15 Bilhões",21.75,79.45,"243,85 Milhões",0.12,6.3435043831499,6.5,Consumo Cíclico
TFCO4,26,90,104.43,27.15,31.91,16.927332964642,13.89,2.8601481125,-79.408580903528,1.2213721791493,-91.206823764224,14.26,"13,14 Bilhões","125,86 Milhões","882,42 Milhões",26.98,37.26,"50,44 Milhões",0.3,1.4157695886154,1.59,Consumo Cíclico,
CAMB3,25.25,80,5.64,1.42,359.91,5.9,4.9604118146068,9.99,5.8579550833333,-41.361810977645,16.708478386735,67.252035903253,17.59,"422,33 Milhões","74,89 Milhões","425,67 Milhões",22.16,27.73,"48,17 Milhões",0.01,3.8034970555387,9.77,Consumo Cíclico
B3SA3,25.18,70,16.61,4.18,33.88,22.58,33.89075874702,14.93,9.4883051888889,-36.44805633698,8.502499632461,-43.05090668144,43.97,"78,63 Bilhões","4,73 Bilhões","10,76 Bilhões",2.91,2.66,"14,52 Bilhões",0.79,4.5303165249518,2.08,Financeiro
JBSS3,25.15,70,8.59,2.16,187.01,1.31,63.670518630968,42.2,36.726733333333,-12.969826224329,46.437829406638,10.042249778763,2.46,"93,60 Bilhões","12,15 Bilhões","441,93 Bilhões",10.34,21.15,"29,70 Bilhões",2.64,6.3222897773461,12.41,Consumo não Cíclico
CMIG3,25.09,90,6.17,1.55,394.96,8.64,30.821878839394,15.1,23.266219789867,54.080925760709,23.183372274111,53.532266715967,17.25,"14,44 Bilhões","7,01 Bilhões","40,61 Bilhões",9.99,19.58,"4,70 Bilhões",0.55,7.3476656005151,12.44,Utilidade Pública
CMIG4,25.09,90,4.38,1.1,288.47,10.1,19.844902385515,10.72,23.870028023867,122.66817186443,23.183372274111,116.26280106447,17.25,"14,44 Bilhões","7,01 Bilhões","40,61 Bilhões",9.99,19.58,"4,70 Bilhões",0.55,10.203535426301,17.52,Utilidade Pública
ENMT4,25.01,50,17.42,4.36,272.2,3.08,4.9136570676506,79.99,53.7258574672,-32.834282451306,43.544563380519,-45.562491085737,12.15,"16,96 Bilhões","1,01 Bilhão","8,28 Bilhões",10.18,8.2,"1,49 Bilhão",1.83,3.6288713338939,5.1,Utilidade Pública
ENMT3,25.01,50,15.81,3.95,259.32,-5.71,-9.6305249964694,72.6,55.975626300533,-22.898586362902,43.544563380519,-40.021262561269,12.15,"16,96 Bilhões","1,01 Bilhão","8,28 Bilhões",10.18,8.2,"1,49 Bilhão",1.83,3.6198613936305,3.82,Utilidade Pública
BMEB3,24.59,80,7.66,1.88,267.33,13.83,47.864561432463,34.15,17.211796666667,-49.599424109321,42.665548162423,24.935719362878,7.37,"3,81 Bilhões","476,73 Milhões","6,34 Bilhões",23.2,25.84,"4,17 Bilhões",6.4335305698379,6.15,Financeiro,
BMEB4,24.59,80,8.95,2.2,954.36,19.87,59.531110735321,39.94,16.767763333333,-58.017618093808,42.665548162423,6.8241065659064,7.37,"3,81 Bilhões","476,73 Milhões","6,34 Bilhões",23.2,25.84,"4,17 Bilhões",6.2233901829744,5.34,Financeiro,
UNIP6,24.57,90,10.66,2.62,427.4,15.66,27.739046491342,61.3,133.9549849254,118.52362956835,55.033342166363,-10.222932844432,11.55,"6,68 Bilhões","651,57 Milhões","5,64 Bilhões",7.82,11.97,"1,48 Bilhão",0.93,9.3161848037593,8.58,Materiais Básicos
UNIP5,24.57,80,10,2.46,313.09,6.48,-6.459913179254,57.5,125.259441227,117.84250648174,55.033342166363,-4.289839710673,11.55,"6,68 Bilhões","651,57 Milhões","5,64 Bilhões",7.82,11.97,"1,48 Bilhão",0.93,8.7160801820503,8.84,Materiais Básicos
UNIP3,24.57,80,9.57,2.35,278.4,12.29,12.24609950052,55.02,121.77724611737,121.33269014426,55.033342166363,0.024249666235907,11.55,"6,68 Bilhões","651,57 Milhões","5,64 Bilhões",7.82,11.97,"1,48 Bilhão",0.93,8.8311299919971,8.72,Materiais Básicos
PINE4,24.27,50,4.23,1.03,146.26,20,20.445428401818,5.16,3.1480705718174,-38.990880391136,11.738781878883,127.49577284657,9.13,"1,15 Bilhão","272,45 Milhões","2,99 Bilhões",35.28,"49,22 Milhões",3.4578436025221,9.58,Financeiro,,
PINE3,24.27,50,4.19,1.02,11.84,-5.0417229762882,5.1,2.2492689940174,-55.896686391816,11.738781878883,130.17219370359,9.13,"1,15 Bilhão","272,45 Milhões","2,99 Bilhões",35.28,"49,22 Milhões",2.1130280301973,9.69,Financeiro,,,
KEPL3,24.17,90,8.07,1.95,133.45,2.65,-16.444992070364,7.75,11.583379022222,49.462955125445,9.2602375779458,19.486936489623,10.9,"1,39 Bilhão","172,63 Milhões","1,58 Bilhão",18.74,20.6,"356,82 Milhões",0.42,6.5108613703404,10.64,Bens Industriais
CPFE3,23.97,70,8.86,2.12,140.19,15.45,29.495504795323,41,47.947233973333,16.94447310569,44.851078582348,9.3928745910927,12.37,"47,24 Bilhões","5,62 Bilhões","43,12 Bilhões",6.89,8.69,"4,05 Bilhões",1.27,9.0614253618854,6.96,Utilidade Pública
BRFS3,23.89,40,9.22,2.2,-4.65,-0.66,9.0393856244939,21.01,2.3487575740667,-88.820763569411,22.122432054365,5.29477417594,6.03,"35,35 Bilhões","4,28 Bilhões","63,51 Bilhões",9.98,25.23,"12,98 Bilhões",1.24,0.55569974149842,3.43,Consumo não Cíclico
CEEB3,23.39,60,5.28,1.23,63.46,-2.55,-3.0246232303236,37,72.003762201333,94.604762706305,68.764783864999,85.8507672027,11.21,"11,00 Bilhões","1,76 Bilhão","16,40 Bilhões",7.76,7.57,"796,00 Milhões",1.96,11.270315448165,4.52,Utilidade Pública
CEEB5,23.39,60,5.28,1.23,64.51,4.72,9.9427637145701,37,72.003758432333,94.604752519819,68.764783864999,85.8507672027,11.21,"11,00 Bilhões","1,76 Bilhão","16,40 Bilhões",7.76,7.57,"796,00 Milhões",1.96,11.924151642771,4.52,Utilidade Pública
CEEB6,23.39,60,8.65,2.02,35.68,44.721923989595,79.204221857,77.103788905477,68.764783864999,53.76079052636,11.21,"11,00 Bilhões","1,76 Bilhão","16,40 Bilhões",7.76,7.57,"796,00 Milhões",1.96,9.528842959789,3.03,Utilidade Pública,,
TAEE3,23.08,60,7.3,1.68,119.85,7.92,9.5189963073211,11.89,22.5096804217,89.316067465938,16.091162170583,35.333575866972,42.41,"12,33 Bilhões","1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.847913336886,7.68,Utilidade Pública
TAEE4,23.08,70,7.35,1.7,120.64,8.17,9.0964026137146,11.98,22.5097675208,87.894553595993,16.091162170583,34.316879554115,42.41,"12,33 Bilhões","1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.797893266162,7.67,Utilidade Pública
TAEE11,23.08,70,7.34,1.69,115.41,8.04,8.987898374191,35.9,67.5290748219,88.103272484401,48.273486511749,34.466536244426,42.41,"12,33 Bilhões","1,68 Bilhão","3,97 Bilhões",2.2,-5.73,"802,62 Milhões",1.4,10.872630064812,7.65,Utilidade Pública
ECOR3,22.93,40,5.8,1.33,-38.31,10.18,-5.5401662049861,6.82,0.9531155823,-86.024698206745,11.670539833272,71.122284945337,8.06,"4,75 Bilhões","812,57 Milhões","10,17 Bilhões",20.52,"3,89 Bilhões",6.44,1.1294727953632,3,Bens Industriais,
